CENTRE;HAUTS-BASSINS;SAHEL
;Lopohin;Kourfadji
;Makognadougou;Nassoumbou
;Man;Pétéga
;Pê;Soboulé
;Pohin;Tem
;Sébédougou;Wapta
;Waly;Yérouporou
;;Bougué
;;Boui-Boui
;;Cissé
;;Débéré
;;Donombéné
;;Gargaboulé
;;Gaskindé
;;Kaboret
;;Loura
;;Mamassirou
;;Mentao
;;Niamanga
;;Noufoundou
;;Ouré
;;Pobé-Mangao
;;Arbilo
;;Béléhédé
;;Boudoudi
;;Bouléguégué
;;Bouleyanké
;;Bouloboyé
;;Débeyel
;;Diguel
;;Feto-Dana
;;Filio
;;Gankouna
;;Gasselkoli
;;Gasselpaté
;;Houbaye
;;Kadiel
;;Kobaoua
;;Mamassi-Gaoubilé
;;Mamassirou
;;Maty
;;Nérégué
;;Nianguel
;;Pétéldaou
;;Piraogo
;;Pouga
;;Saylia
;;Sergoussouma
;;Sibé
;;Silgadji
;;Sona
;;Taouremba
;;Tiahiguel
;;Tidyalié
;;Tongomayel
;;Touronata
;;Toutou-Doundougorou
;;Waguessi
;;Woba-Tila
;;Barantiangou
;;Bira
;;Boundoré
;;Dantiéré
;;Datambi
;;Formou
;;Gabouga
;;Kankantiari
;;kira
;;Louba
;;Ouro-diako
;;Pansi
;;Soulountou
;;Takatami
;;Takoulo
;;Tampétou
;;Tangangari
;;Tantiabongou
;;Timbaouri
;;Yama
;;Babonga
;;Bana
;;Banga
;;Bognori
;;Boliel
;;Botan
;;Botontonga
;;Boutonou
;;Darounkayrou
;;Djibondi
;;Fouly
;;Guitanga
;;Hamdalaye
;;Haoura
;;Kontiana
;;Kossi
;;Koygouroual
;;Lontari
;;Mansila
;;Ouro-Balla
;;Ouro-Djiama
;;Penkatougou
;;Pontitiaga
;;Soféri
;;Tamna
;;Tantiaga
;;Téparé
;;Tiabongou
;;Tioumbanga
;;Bagnaba
;;Bandihossi
;;Diogora
;;Gandi
;;Gatougou
;;Gongongou
;;Guendé
;;Guissangou
;;Helga
;;Ibbal
;;Kankanfogou
;;Kirgou
;;Namantougou
;;Niaptana
;;Notou
;;Tambondi
;;Tandialouol
;;Wantarangou
;;Bangaba
;;Banguel
;;Boutontou
;;Dambini
;;Diogota
;;Diori-Yagha
;;Gongorgouol
;;Gountouré
;;Habanga
;;Kodiengou
;;Komondi
;;Lontia
;;Nabaningou
;;Sambagou
;;Solhan
;;Yoba
